amount,duration,payments,status,loan_year,owner_age_at_loan,owner_age_at_account_creation,has_disponent,has_junior_card,has_classic_card,has_gold_card,min_balance,max_balance,mean_balance,std_balance,recent_balance,total_credit,min_credit,max_credit,mean_credit,std_credit,total_withdrawal,min_withdrawal,max_withdrawal,mean_withdrawal,std_withdrawal,total_credit_times,total_withdrawal_times,interest_credit,payment_for_statement,household,old-age_pension,insurrance_payment,sanction_interest_if_negative_balance,credit_in_cash,collection_from_another_bank,withdrawal_in_cash,remittance_to_another_bank,credit_card_withdrawal,months_until_bankrupt,months_until_bankrupt_loan_duration_diff,sex,frequency,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate 1995 ,unemploymant rate 1996 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes 1995 ,no. of commited crimes 1996 
80952,24,3373,1,1994,48,48,1,0,0,0,1100.0,67529.6,33312.53888888889,12156.745393667281,28756.399999999998,457387.8000000001,13.5,30354.0,10395.177272727275,11193.490420001495,304235.19999999995,14.6,22400.0,5245.43448275862,5158.060830775782,44,58,20,12,10,0,0,0,4,20,54,10,0,8,-16,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
24516,12,2043,1,1994,35,34,0,0,0,0,200.0,125254.2,55582.22602739725,29331.231391003857,78663.5,630684.9999999999,12.5,49536.0,20344.677419354834,19093.222379694264,414916.7999999999,14.6,59200.0,12573.236363636359,17301.090093205778,31,33,10,8,0,0,0,0,21,0,42,0,0,38,26,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
253200,60,4220,1,1994,43,43,0,0,0,0,800.0,104417.9,47302.546341463436,26226.926680818382,81150.6,284778.7,69.5,46304.0,13560.890476190476,15905.989372108344,163750.0,30.0,42600.0,9632.35294117647,12678.01873991162,21,17,8,5,0,0,0,0,13,0,20,0,0,19,-41,female,weekly issuance,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
21072,24,878,1,1994,29,29,0,0,0,0,1100.0,33467.0,21575.68666666666,8763.261424292265,32167.0,39167.1,48.5,9738.0,3012.853846153846,3618.4248678152308,8300.0,2600.0,5700.0,4150.0,1550.0,13,2,6,0,0,0,0,0,7,0,2,0,0,36,12,female,monthly issuance,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
108144,36,3004,1,1994,30,30,1,0,0,0,900.0,123863.4,54652.8981818182,25351.81008502327,21921.3,773850.0000000001,35.7,45740.0,16822.826086956524,17458.669697471407,730007.1999999998,14.6,60600.0,11406.362499999997,15868.981220799706,46,64,16,12,12,0,0,0,30,0,52,12,0,7,-29,female,monthly issuance,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
78936,12,6578,1,1994,37,36,0,0,0,0,900.0,40560.3,25900.319607843132,7609.154856809635,24601.0,95405.00000000001,24.0,11416.0,3975.208333333334,3969.4653441318633,70804.0,14.6,6300.0,2622.3703703703704,2066.264504744378,24,27,9,5,4,0,0,0,15,0,18,9,0,3,-9,female,monthly issuance,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
149040,48,3105,1,1994,25,24,0,0,0,0,200.0,62441.6,36845.58888888889,12540.493072246469,19040.8,189931.6,31.1,27946.0,9496.58,10471.674695272004,163458.00000000003,14.6,15900.0,5108.062500000001,4455.668547882994,20,32,9,5,5,0,0,0,2,9,29,5,0,6,-42,female,monthly issuance,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
49320,12,4110,-1,1994,48,47,0,0,0,0,900.0,126833.0,46576.27755102041,24189.205147483597,15673.6,266271.60000000003,166.4,45628.0,15663.03529411765,16304.549525495717,234710.0,100.0,62700.0,7823.666666666667,12028.743030295764,17,30,5,5,5,0,0,0,12,0,22,10,0,3,-9,female,issuance after transaction,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
197748,36,5493,1,1994,23,23,1,0,0,0,300.0,74413.6,44735.431249999994,19011.85331749376,43294.5,271989.19999999995,68.3,36216.0,12363.145454545453,13373.958932558156,185400.0,5700.0,25100.0,18540.0,7885.835402796586,22,10,8,0,0,0,0,0,14,0,10,0,0,7,-29,female,monthly issuance,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
300660,60,5011,1,1994,44,43,0,0,0,0,800.0,135175.2,45854.89090909087,30288.85887757535,33918.9,358263.0,39.4,44519.0,14927.625,16753.50442691643,312253.0,14.6,48900.0,7615.926829268293,10854.89856327715,24,41,9,5,5,0,5,0,15,0,27,15,0,6,-54,male,monthly issuance,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
182628,36,5073,1,1994,34,34,0,0,0,0,500.0,52246.0,33229.1076923077,14007.455346156068,45660.9,76660.9,67.1,23204.0,7666.089999999999,8396.067115912068,31000.0,8600.0,12600.0,10333.333333333334,1675.9740119968715,10,3,4,0,0,0,0,0,6,0,3,0,0,9,-27,male,monthly issuance,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
91632,12,7636,1,1994,31,30,1,0,0,0,700.0,64577.8,40976.94285714285,10565.13916968133,33061.9,474349.2,54.1,26378.0,8784.244444444445,9490.214631781726,408225.59999999986,14.6,18300.0,4746.80930232558,4143.86674697168,54,86,24,16,16,0,0,0,30,0,70,16,0,4,-8,female,monthly issuance,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
51696,24,2154,1,1994,26,25,0,0,1,0,600.0,124339.4,58226.50490196077,25986.699895566402,38202.2,728065.9,119.6,46889.0,16546.952272727274,16172.00220443412,576460.5999999999,14.6,59600.0,11529.211999999998,16394.80154055718,44,50,13,11,0,0,0,0,31,0,53,0,5,17,-7,female,monthly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
55368,24,2307,1,1994,54,53,0,0,0,0,200.0,113350.7,46061.31938775505,24008.401585965512,12414.4,432628.60000000003,27.2,48139.0,9204.863829787235,11520.452454959814,264246.0,14.6,34100.0,6775.538461538462,8708.797784634166,47,39,22,10,0,0,0,0,25,0,51,0,0,5,-19,female,monthly issuance,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
91200,24,3800,1,1994,38,37,1,0,0,0,700.0,76736.9,32558.533333333326,15523.234828851448,32715.3,392698.0,16.0,34198.0,10908.277777777777,12173.354650928557,250961.60000000003,14.6,22100.0,7842.550000000001,6828.5463059497515,36,32,14,6,6,0,0,0,6,16,30,6,0,8,-16,female,monthly issuance,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
7656,24,319,1,1994,31,30,1,0,0,0,600.0,73069.1,46444.63950617281,12843.537530599611,36353.1,557718.3999999999,9.2,31677.0,7746.088888888888,10938.78365891488,485012.3999999999,14.6,21700.0,5389.026666666666,6486.972287229913,72,90,44,14,16,0,0,0,28,0,74,16,0,113,89,female,monthly issuance,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
212400,36,5900,1,1994,27,26,0,0,0,0,300.0,133215.2,51034.36197183098,27116.498659549365,64221.1,433316.20000000007,71.5,48828.0,13977.941935483874,16611.839535098283,343370.0,30.0,42900.0,9280.27027027027,11973.813429106956,31,37,12,9,0,0,0,0,19,0,40,0,0,10,-26,female,weekly issuance,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
167100,60,2785,1,1994,24,23,1,0,0,0,1100.0,143605.7,63707.6265822784,26325.376608241506,39310.2,1171570.4,91.4,49980.0,17751.066666666666,16389.576647086007,977291.9999999997,14.6,49200.0,11363.860465116275,14412.532636371843,66,86,22,20,0,0,0,0,44,0,92,0,0,14,-46,female,monthly issuance,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
149340,60,2489,1,1994,31,30,0,0,0,0,500.0,53214.0,29069.11607142853,10338.77912331212,23553.3,173575.3,32.2,22404.0,7546.752173913043,8131.127957203006,147704.0,30.0,13200.0,4615.75,3867.556390991604,23,32,10,6,6,0,0,0,3,10,27,6,0,9,-51,male,weekly issuance,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
65184,12,5432,1,1994,36,35,0,0,0,0,900.0,102410.3,47426.549999999974,18061.6187781341,67995.4,524877.5,21.6,48891.0,17495.916666666668,17710.191833312318,405345.9999999999,14.6,39900.0,8444.70833333333,8953.94860233539,30,48,14,10,0,0,0,0,1,15,52,0,0,12,0,male,monthly issuance,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
215388,36,5983,-1,1994,34,33,0,0,0,0,1000.0,50757.0,32702.726666666666,10148.128032135888,30662.8,61162.9,18.0,49757.0,6116.29,14822.657154670347,30500.0,2600.0,11400.0,6100.0,3303.3316515300126,10,5,7,0,0,0,0,0,3,0,5,0,0,5,-31,male,monthly issuance,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
89040,60,1484,1,1994,24,23,1,0,0,0,800.0,46550.2,30045.399999999972,8781.17349854188,29305.8,328690.8,25.2,15843.0,3735.122727272727,5189.802002216534,270078.80000000005,14.6,11400.0,3140.451162790698,3225.0470545961207,88,86,52,18,16,0,0,0,36,0,70,16,0,19,-41,female,monthly issuance,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
193968,36,5388,1,1994,21,20,0,0,0,0,800.0,120567.3,63579.21724137932,29511.937701361003,80780.0,286180.0,52.4,41783.0,14309.0,15700.580806613494,205400.0,100.0,54200.0,22822.222222222223,15846.890881724528,20,9,8,1,0,0,0,0,12,0,9,0,0,14,-22,male,issuance after transaction,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
24312,12,2026,1,1994,38,37,0,0,0,0,1100.0,48277.9,29380.83974358974,7646.371208406887,28461.9,207260.39999999997,35.5,18231.0,5601.632432432431,6247.901973659771,99460.6,14.6,11700.0,2762.7944444444447,2977.616270884447,37,36,15,11,0,0,0,0,7,15,41,0,0,14,2,female,monthly issuance,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
272520,60,4542,1,1994,54,53,1,0,0,0,1100.0,121891.4,44602.64166666664,24052.295003784926,30009.9,935391.2000000001,13.3,42400.0,13755.752941176472,14104.839000795922,722602.7999999997,14.6,56700.0,8028.919999999996,11924.166285276859,68,90,22,18,20,0,0,0,46,0,80,20,0,6,-54,male,monthly issuance,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
80340,12,6695,1,1994,18,17,1,0,0,0,1100.0,122523.5,61531.59038461537,26420.491715422617,89342.6,893491.4000000001,147.8,61260.0,20306.62272727273,21172.65642617494,662145.9999999999,14.6,39200.0,11824.035714285712,11562.874842980822,44,56,18,10,0,0,0,0,6,20,60,0,0,13,1,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
97632,12,8136,1,1994,25,24,0,0,0,0,1100.0,119900.1,53379.127692307724,22695.20752218242,41330.1,515264.2,46.7,73224.0,25763.21,26014.832311835107,432048.9999999999,14.6,54700.0,10047.651162790695,11687.163047815306,20,43,9,5,6,0,0,0,1,10,33,12,0,5,-7,female,monthly issuance,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
196080,48,4085,1,1994,36,35,0,0,0,0,900.0,97457.4,49143.96595744681,22934.449412510676,86857.4,289532.4,123.9,46888.0,14476.62,16417.628086438064,174873.00000000003,14.6,35700.0,7286.375000000001,8347.781168332996,20,24,7,5,0,0,0,0,13,0,27,0,0,21,-27,male,monthly issuance,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
76908,12,6409,-1,1994,48,47,0,0,0,0,1100.0,126002.8,52890.40392156865,23136.525293811104,14888.6,666797.7000000001,17.0,47434.0,15876.135714285716,16358.824880558264,549475.1999999998,14.6,52200.0,10566.830769230766,11696.006145780282,42,52,16,12,0,0,0,0,26,0,60,0,0,2,-10,female,monthly issuance,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
63312,48,1319,1,1994,38,36,0,0,0,0,500.0,31462.9,22551.77926829271,5488.656204340754,28553.5,96737.2,26.5,10500.0,2763.92,2492.9477877519103,68183.79999999999,14.6,4600.0,1450.7191489361699,1194.542714720948,35,47,12,8,8,0,0,0,23,0,30,17,0,21,-27,female,monthly issuance,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
25944,24,1081,1,1994,34,33,0,0,0,0,600.0,80155.2,56927.45405405403,17188.936813851855,69398.9,232737.40000000002,65.4,36289.5,12249.336842105264,12874.862616015529,163338.40000000002,14.6,29900.0,9074.355555555558,10018.941325654801,19,18,8,4,0,0,0,0,11,0,18,0,0,64,40,female,monthly issuance,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
104808,12,8734,1,1994,54,54,1,0,0,0,500.0,57865.3,38709.829999999994,11323.595490895696,28015.4,227292.00000000003,19.5,25970.0,9470.500000000002,9562.06135673684,171261.2,14.6,16400.0,4757.2555555555555,4570.308144148394,24,36,10,2,4,0,4,0,14,0,20,16,0,3,-9,male,monthly issuance,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
208320,48,4340,1,1994,26,24,1,0,0,0,200.0,82981.9,43944.88941176472,15945.229562304638,44198.1,846110.4000000001,79.0,39060.0,12819.854545454547,13981.13487941586,649060.0,30.0,29700.0,7055.0,8014.837802476105,66,92,30,22,0,0,0,0,6,30,104,0,0,10,-38,female,weekly issuance,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
151560,24,6315,1,1994,41,40,0,0,0,0,300.0,97912.7,53976.29285714283,22432.36873397662,21323.2,247759.29999999996,59.9,56835.0,19058.40769230769,20915.449444092814,166563.2,14.6,37200.0,15142.109090909093,12233.338343860678,13,11,6,2,1,0,0,0,1,6,14,1,0,3,-21,male,monthly issuance,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
52128,24,2172,1,1994,34,34,0,0,0,0,144.2,59944.2,33459.68028169013,19945.403074030033,58777.05,243548.69999999998,38.7,44473.0,6244.838461538461,12281.860298092224,139774.80000000005,0.1,27300.0,4819.820689655174,6277.660429424177,39,29,26,5,0,0,0,6,13,0,32,0,0,27,3,female,monthly issuance,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
300204,36,8339,1,1994,30,29,0,0,0,0,300.0,57676.7,34084.4605633803,11366.645090226806,33897.299999999996,250489.6,83.6,28365.0,9277.392592592592,10304.381380785839,216556.80000000005,14.6,18300.0,4921.745454545456,4004.8205589953795,27,44,12,8,8,0,0,0,15,0,44,0,0,4,-32,male,monthly issuance,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
77640,12,6470,1,1994,26,26,0,0,0,0,700.0,117489.5,55570.30499999995,22981.015776008284,30825.8,413086.9000000001,138.1,58227.0,18776.677272727276,20450.829105951845,312880.0,30.0,35000.0,9481.212121212122,9817.538035384265,22,33,10,6,0,0,0,0,2,10,38,0,0,4,-8,male,weekly issuance,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
87216,48,1817,-1,1994,30,29,0,0,0,0,200.0,41410.0,28362.24848484848,8296.694085109542,21658.766666666666,77528.3,16.7,16356.0,3691.82380952381,5321.192278043456,52729.2,14.6,12600.0,4793.563636363636,3605.1686459790494,21,11,12,2,2,0,0,0,3,6,12,0,0,11,-37,male,monthly issuance,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
87360,24,3640,1,1994,31,31,0,0,0,0,200.0,69174.6,36783.95,13324.661006413386,29065.2,136713.19999999998,63.3,49341.0,8544.574999999999,15330.477088976228,99529.20000000001,14.6,22800.0,7656.092307692308,6782.702455563715,16,13,10,2,0,0,0,0,6,0,14,0,0,7,-17,male,monthly issuance,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
69360,48,1445,1,1994,52,51,0,0,0,0,1100.0,52365.0,33857.10641025642,9536.527112893817,38665.0,204511.09999999998,34.2,17782.0,6597.132258064516,6533.688809023043,165846.00000000003,14.6,13700.0,3528.638297872341,3870.8995723163375,31,47,14,10,0,0,0,0,17,0,47,0,0,26,-22,male,monthly issuance,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
288360,60,4806,1,1994,58,58,0,0,0,0,800.0,58495.8,33211.759999999995,15829.948836190217,43381.75,64650.399999999994,8.7,27116.0,8081.299999999999,11195.684952471644,21200.0,6000.0,15200.0,10600.0,4600.0,8,2,4,0,0,0,0,0,4,0,2,0,0,9,-51,male,issuance after transaction,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
174744,24,7281,-1,1994,15,14,0,0,0,0,-1369.2,96659.4,26252.81440677967,23331.028806880855,6930.8,438627.49999999994,33.3,46739.0,11542.82894736842,13557.953040712378,390563.59999999986,0.2,37500.0,5007.22564102564,6949.304483210401,38,78,15,14,14,0,14,3,23,0,38,42,0,0,-24,female,monthly issuance,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
239460,60,3991,1,1994,51,51,0,0,0,0,300.0,74408.8,40061.58043478263,15886.980068044504,36240.6,240982.90000000002,30.4,35918.0,13387.93888888889,13678.430133451348,195062.40000000002,14.6,23200.0,7224.533333333334,6721.022535078799,18,27,8,4,4,0,0,0,1,9,20,8,0,9,-51,female,monthly issuance,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
91584,24,3816,1,1994,42,42,0,0,0,0,1000.0,83039.4,50765.41612903225,17938.22147252848,49842.9,257465.2,29.4,47906.0,18390.37142857143,18815.129292765156,154129.2,14.6,30600.0,12844.1,11055.238458908669,14,12,6,2,0,0,0,0,1,7,17,0,0,13,-11,female,monthly issuance,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
244560,60,4076,1,1994,26,26,0,0,0,0,1000.0,72512.5,38426.728571428575,15569.000696764402,21326.1,224210.9,65.4,36680.0,12456.16111111111,13923.098338019247,170867.80000000002,14.6,24600.0,8543.390000000001,7973.727264077948,18,20,7,3,4,0,0,0,3,8,20,4,0,5,-55,female,monthly issuance,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
4980,12,415,1,1994,41,41,0,0,0,0,800.0,41106.2,30533.37173913044,8610.042065333364,22500.3,101697.79999999999,35.6,15528.0,5352.515789473684,5699.108902854269,79197.4,14.6,16000.0,2933.2370370370368,3738.5614024795336,19,27,8,4,3,0,4,0,11,0,17,10,0,54,42,female,monthly issuance,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
