amount_loan,status,type_card,date_card,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,no. of enterpreneurs per 1000 inhabitants,frequency,date_account,sex,age,n_credits,n_withdrawals,total_transfer_amount,min_amount,max_amount,cov_transfers,mean_transfers,std_transfers,min_balance,max_balance,mean_balance,n_members,loan_year
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,428638.49999999994,13.5,30354.0,55961423.259716965,7937.749999999999,8801.998149535932,1100.0,67529.6,33312.53888888891,2,1994
24516,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/27,male,63,31,42,1182713.8,12.5,59200.0,202908072.03733447,16201.558904109586,17640.206218149582,200.0,125254.2,55582.22602739725,1,1994
253200,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,weekly issuance,1993/05/10,female,71,21,20,488406.69999999995,30.0,46304.0,154329928.2524695,11912.358536585367,14459.62044505276,800.0,104417.9,47302.546341463436,1,1994
21072,1,0,0.0,74062,99,15,4,2,7,61.4,8114,2.38,119,monthly issuance,1993/09/08,female,57,13,2,47467.100000000006,48.5,9738.0,5842881.356761904,3164.473333333334,3558.2435125989314,1100.0,33467.0,21575.68666666666,1,1994
108144,1,0,0.0,108871,41,29,7,2,6,62.1,8444,3.24,106,monthly issuance,1993/05/20,male,64,23,32,751928.6,14.6,60600.0,175274228.72579458,13671.429090909089,16921.113973296386,900.0,123863.4,54652.89818181817,2,1994
78936,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/05/09,female,64,24,27,166209.0,14.6,11416.0,3507055.5188,3259.0000000000005,3214.6190370866657,900.0,40560.3,25900.319607843132,1,1994
149040,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/04/21,female,53,20,34,360829.60000000003,14.6,27946.0,47177014.998637326,6682.029629629629,7629.0304123832,200.0,62441.6,36845.58888888889,1,1994
49320,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,issuance after transaction,1993/09/03,female,76,17,32,516869.60000000003,100.0,62700.0,135929889.51864797,10548.35918367347,14102.34576349975,900.0,126833.0,46576.27755102041,1,1994
197748,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/09/13,male,53,11,5,228694.6,68.3,36216.0,152715252.06958336,14293.412500000002,12674.318704470865,300.0,74413.6,44735.43125,2,1994
300660,1,0,0.0,128118,9,16,6,3,8,85.3,9317,6.49,97,monthly issuance,1993/04/29,male,71,24,42,682607.0,14.6,48900.0,234883720.2487413,10342.530303030304,13800.624291118356,800.0,135175.2,45854.89090909087,1,1994
182628,1,0,0.0,138032,67,30,4,2,5,64.6,8819,5.38,99,monthly issuance,1993/10/10,male,62,10,3,107660.9,67.1,23204.0,41094267.38076922,8281.607692307693,7798.415712124006,500.0,52246.0,33229.1076923077,1,1994
91632,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,monthly issuance,1993/03/08,male,60,27,43,441287.39999999997,14.6,26378.0,21271684.846997928,6304.1057142857135,7061.299538767547,700.0,64577.8,40976.942857142836,2,1994
51696,1,classic,931107.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/02/08,female,53,44,58,1417929.5,14.6,59600.0,145264448.90836826,13901.269607843138,16005.32506969761,600.0,124339.4,58226.50490196077,1,1994
55368,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1993/03/18,female,82,47,51,852842.5999999999,14.6,48139.0,56066323.60202608,8702.475510204076,10214.905753667104,200.0,113350.7,46061.31938775505,1,1994
91200,1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1993/07/28,male,63,18,18,359982.8,14.6,34198.0,81177315.7695238,9999.522222222224,10256.550986539876,700.0,76736.9,32558.533333333333,2,1994
7656,1,0,0.0,78955,50,24,8,1,9,59.0,9060,1.78,124,monthly issuance,1993/03/28,male,62,36,45,521365.4,9.2,31677.0,37514875.90622994,6436.609876543208,8882.850638725231,600.0,73069.1,46444.63950617286,2,1994
212400,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,weekly issuance,1993/03/05,female,55,31,40,802411.2000000001,30.0,48828.0,178853610.19355333,11301.5661971831,14293.62035768749,300.0,133215.2,51034.36197183098,1,1994
167100,1,0,0.0,145688,22,41,13,2,5,40.7,8544,1.29,109,monthly issuance,1993/05/06,male,48,33,46,1132260.2,14.6,49980.0,145960952.55633393,14332.407594936705,15463.91500017903,1100.0,143605.7,63707.62658227849,2,1994
149340,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,weekly issuance,1993/05/21,male,58,23,33,323612.30000000005,30.0,22404.0,33452023.134691555,5778.791071428573,6217.798280984173,500.0,53214.0,29069.11607142853,1,1994
65184,1,0,0.0,75232,55,26,4,1,5,41.7,8980,1.95,111,monthly issuance,1993/01/25,male,64,30,52,981759.5,14.6,48891.0,140356284.47796294,11972.67682926829,13636.62960215953,900.0,102410.3,47426.549999999974,1,1994
215388,-1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1993/11/27,male,62,10,5,91662.9,18.0,49757.0,69582698.19614284,6110.860000000001,12682.024781432072,1000.0,50757.0,32702.726666666666,1,1994
89040,1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,monthly issuance,1993/04/12,male,45,44,43,299384.80000000005,14.6,15843.0,1558509.8530232562,3441.2045977011485,4366.932331604856,800.0,46550.2,30045.399999999998,2,1994
193968,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,issuance after transaction,1993/10/25,male,49,20,9,491580.0,52.4,54200.0,244228449.45474142,16951.03448275862,16518.52298207932,800.0,120567.3,63579.21724137932,1,1994
24312,1,0,0.0,93931,74,21,10,1,8,56.9,8427,1.12,107,monthly issuance,1993/02/10,female,66,37,41,386059.0,14.6,24322.0,12302635.797006331,4949.474358974358,6039.628286369602,1100.0,48277.9,29380.83974358974,1,1994
272520,1,0,0.0,92084,55,29,4,3,5,46.7,10124,0.56,141,monthly issuance,1993/06/18,female,80,34,50,905381.0,13.3,56700.0,137158225.87989956,10778.345238095239,13082.585295796247,1100.0,121891.4,44602.641666666634,2,1994
80340,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/07/05,male,43,22,30,804148.7000000001,14.6,61260.0,162392227.51292235,15464.398076923077,16870.665631875505,1100.0,122523.5,61531.59038461539,2,1994
97632,1,0,0.0,103347,87,16,7,1,7,67.0,9104,1.51,123,monthly issuance,1993/07/24,female,53,20,45,989198.2,14.6,73224.0,292145766.63951683,15218.433846153843,18894.43045487609,1100.0,119900.1,53379.127692307724,1,1994
196080,1,0,0.0,87419,21,11,4,3,9,85.5,8624,1.79,102,monthly issuance,1993/10/03,male,63,20,27,492207.4,14.6,46888.0,89982139.48231727,10472.497872340426,12892.04336582451,900.0,97457.4,49143.96595744681,1,1994
76908,-1,0,0.0,149893,63,29,6,2,6,67.4,9753,4.64,109,monthly issuance,1993/01/26,female,75,42,60,1318706.9000000004,14.6,52200.0,127465131.74337025,12928.499019607845,13878.461365467403,1100.0,126002.8,52890.40392156865,1,1994
63312,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/04/19,female,65,35,47,164921.0,14.6,10500.0,-634315.970075279,2011.2317073170734,1985.063059102119,500.0,31462.9,22551.77926829271,1,1994
25944,1,0,0.0,118650,8,8,5,1,3,85.6,9832,3.32,114,monthly issuance,1993/09/08,female,61,19,18,396075.8,14.6,36289.5,-2197298.109241739,10704.751351351351,11843.284039151133,600.0,80155.2,56927.45405405403,1,1994
104808,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1993/11/26,female,76,12,18,199276.59999999998,14.6,25970.0,26176921.0655862,6642.553333333333,7504.299349900664,500.0,57865.3,38709.829999999994,2,1994
208320,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,weekly issuance,1993/02/07,male,61,33,52,801927.2000000001,30.0,39060.0,82495587.1507605,9434.437647058825,10975.441200514299,200.0,82981.9,43944.88941176475,2,1994
151560,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1993/11/21,male,68,13,15,474195.49999999994,14.6,56835.0,204653321.58743387,16935.55357142857,16721.85853963657,300.0,97912.7,53976.29285714283,1,1994
52128,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/09/13,female,62,39,32,428252.5,0.1,44473.0,30898429.958792754,6031.725352112675,10259.061556938937,144.2,59944.2,33459.68028169013,1,1994
300204,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/06/05,male,57,27,44,467046.39999999997,14.6,28365.0,29475180.912446685,6578.118309859154,7454.630997618861,300.0,57676.7,34084.4605633803,1,1994
77640,1,0,0.0,67298,71,19,10,0,7,43.8,8561,0.65,110,weekly issuance,1993/07/07,male,54,22,38,795347.9,30.0,58227.0,152672339.19238135,13255.798333333332,15291.831141145887,700.0,117489.5,55570.30499999995,1,1994
87216,-1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1993/11/26,male,57,21,12,133365.5,14.6,16356.0,9434066.293248106,4041.378787878787,4832.336533368045,200.0,41410.0,28362.24848484848,1,1994
87360,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1993/07/21,male,59,16,14,244368.4,14.6,49341.0,96108461.92413792,8145.613333333334,12267.28820936152,200.0,69174.6,36783.95,1,1994
69360,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,monthly issuance,1993/03/19,male,80,31,47,370357.1,14.6,17782.0,18429240.999558773,4748.167948717948,5349.454357161017,1100.0,52365.0,33857.10641025642,1,1994
288360,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,issuance after transaction,1994/02/27,male,86,8,2,85850.40000000001,8.7,27116.0,75704126.544,8585.039999999999,10828.034868104593,800.0,58495.8,33211.759999999995,1,1994
174744,-1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,monthly issuance,1993/03/22,female,43,38,80,870324.1000000002,0.2,46739.0,109720625.27626032,7375.6279661016915,10210.527128894719,-1369.2,96659.4,26252.81440677967,1,1994
239460,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/09/22,female,79,18,28,445725.29999999993,14.6,35918.0,85224816.96871981,9689.680434782607,10538.504883302301,300.0,74408.8,40061.58043478263,1,1994
91584,1,0,0.0,133777,24,17,7,3,11,84.7,8705,5.75,116,monthly issuance,1993/11/26,female,70,14,17,465087.39999999997,14.6,47906.0,161196173.16701075,15002.819354838708,15132.82127814505,1000.0,83039.4,50765.41612903225,1,1994
244560,1,0,0.0,109164,98,16,6,1,4,63.6,8757,3.38,96,monthly issuance,1993/10/14,female,54,18,24,427095.69999999995,14.6,36680.0,114169827.73087108,10168.945238095237,11057.87073951428,1000.0,72512.5,38426.728571428575,1,1994
4980,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,monthly issuance,1993/11/05,female,69,19,27,180895.2,14.6,16000.0,2223367.0321256034,3932.5043478260877,4852.867163598879,800.0,41106.2,30533.37173913044,1,1994
111384,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/03/20,male,54,55,97,2055803.5999999999,14.6,61700.0,114297673.81816138,13525.02368421053,15792.305188520842,500.0,141386.0,65097.22434210526,1,1994
276660,-1,0,0.0,124605,11,42,14,1,8,46.0,8772,4.69,126,monthly issuance,1993/08/28,male,72,30,28,202958.59999999998,9.5,11600.0,-1011550.6693708404,3499.286206896553,3063.870045939107,500.0,32720.4,19256.89482758621,1,1994
39576,1,0,0.0,105058,32,19,7,2,10,81.0,9272,2.8,118,monthly issuance,1993/02/04,female,41,53,62,951657.6,14.6,49603.0,82868736.52765673,8275.283478260868,12121.786317067896,300.0,103467.2,48944.827826086956,1,1994
173808,1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,issuance after transaction,1993/06/23,male,71,26,49,1304743.9000000001,43.3,74522.0,361400439.40303427,17396.585333333336,19855.040116961067,1000.0,134416.6,61218.658666666684,2,1994
50460,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/10/20,female,74,19,24,274897.8,14.6,22927.5,30487248.241511628,6392.972093023257,6840.641641943273,800.0,51971.4,37570.627906976755,1,1994
252060,-1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1993/11/29,female,56,26,35,709132.5,8.2,49937.0,80184950.30380873,11625.122950819672,11797.011016092076,900.0,106259.6,57340.50819672131,1,1994
143904,1,0,0.0,102609,75,33,2,3,6,52.0,8187,4.83,94,monthly issuance,1993/02/20,male,70,47,92,1278002.2999999998,6.7,60500.0,118450539.82770304,9194.261151079138,12698.676389421948,700.0,134571.2,49727.45611510793,1,1994
208128,-1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/05/11,male,70,29,35,604298.2,14.6,47493.0,124108122.63055554,9442.159375,12749.278280024244,-1069.7,96064.0,36369.97499999999,1,1994
131292,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1993/05/29,male,67,29,54,656993.4,12.1,32823.0,57534322.86075521,7915.583132530121,8963.527117970363,1000.0,70288.4,36635.11566265061,1,1994
74736,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/06/26,male,56,26,41,548861.5,14.6,30918.0,51627370.41009497,8191.962686567161,8752.215172203909,700.0,62084.0,37912.998507462675,1,1994
299088,-1,0,0.0,106054,38,25,6,2,6,63.1,8110,5.77,109,monthly issuance,1993/06/06,female,55,46,80,1606069.9000000004,14.6,59400.0,259567943.4061047,12746.586507936514,14604.929849189164,500.0,193909.9,51992.854761904746,1,1994
189300,1,0,0.0,109164,98,16,6,1,4,63.6,8757,3.38,96,monthly issuance,1993/06/16,male,68,42,60,521678.8,14.6,28413.0,33233862.50105222,5114.498039215686,7367.507477302954,800.0,61043.3,32354.031372549012,1,1994
14628,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/07/01,female,72,29,73,417489.6,2.0,23230.5,15621221.330576587,4093.035294117646,5817.9322151371025,200.0,52184.7,32788.14215686272,1,1994
120888,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1993/03/27,female,77,36,60,892904.6,30.0,49200.0,147563497.26521268,9301.089583333334,12837.16620870803,600.0,116468.4,40838.75520833332,1,1994
172080,1,0,0.0,92084,55,29,4,3,5,46.7,10124,0.56,141,monthly issuance,1994/01/21,female,64,25,17,477488.3,14.6,45518.0,72895647.63839722,11368.769047619046,13061.29143535441,200.0,119138.8,60743.95714285715,1,1994
323472,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/21,female,81,28,29,708054.8999999999,14.6,44802.0,162771826.4531015,12422.015789473682,13186.519158917423,200.0,119934.1,45414.07368421048,1,1994
74688,1,0,0.0,87419,21,11,4,3,9,85.5,8624,1.79,102,monthly issuance,1993/04/02,male,71,49,63,1293767.6,14.6,56019.0,119833410.16810487,11551.496428571432,14678.192726356307,1100.0,104902.4,48484.62410714285,2,1994
45768,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,weekly issuance,1993/11/22,female,44,22,5,152427.6,24.2,36574.0,83118065.7467949,5645.466666666667,9022.08898221897,800.0,78327.5,32555.81851851852,1,1994
224604,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/03/24,female,42,34,59,1352015.7000000002,14.6,56152.0,190273721.36753505,14537.80322580645,15921.879127869597,200.0,109178.4,57496.98924731188,2,1994
79632,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1994/04/08,female,62,10,6,399178.5,112.5,66165.0,296091462.674,24948.65625,23490.91145170741,900.0,119373.5,63494.200000000004,1,1994
121896,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/04/28,male,56,39,54,1230422.0,14.6,64900.0,166694863.61014375,13230.344086021503,14728.300633566289,600.0,133454.9,54422.59677419359,1,1994
82896,1,0,0.0,75685,31,28,5,1,9,60.8,8208,1.89,155,monthly issuance,1993/05/08,female,46,34,92,1356513.2,14.6,62168.0,102280647.5570933,10765.97777777778,15166.451673985663,900.0,107680.9,57141.73095238091,2,1994
23628,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1993/03/12,male,67,49,61,1090724.0,1.7,43694.0,114113553.63005003,9915.672727272728,11189.30945193563,1000.0,140228.7,47420.84181818185,1,1994
209184,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/08/16,male,68,26,42,981798.3999999999,14.6,61800.0,200921567.4796752,14438.211764705879,16124.327126523549,1000.0,110583.8,46230.339705882405,1,1994
41904,1,0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,81,monthly issuance,1993/01/24,male,47,63,80,961088.8,0.8,51700.0,123983421.69282626,6720.900699300696,11103.83895324709,900.0,129123.0,36080.386713286716,1,1994
87816,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/07,female,55,41,43,381267.6,14.6,14886.0,13432029.883614458,4538.900000000001,4042.946966326683,800.0,43442.2,25533.2142857143,2,1994
23052,1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/01/19,male,75,48,123,618733.7999999999,14.6,24000.0,14537663.30619195,3618.326315789472,5017.807679989562,700.0,54321.8,23771.96608187134,2,1994
189696,-1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1994/05/17,female,51,5,0,22500.0,600.0,11500.0,2812500.0,4500.0,4623.310502226733,600.0,22500.0,14900.0,1,1994
230220,-1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/10/08,female,79,38,44,589485.8999999999,4.9,59800.0,190990746.97472146,7188.8524390243865,11907.150170092851,-2719.7,130801.0,27658.487804878067,1,1994
71460,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/11/08,female,78,20,23,448637.9,14.6,48487.0,63786261.081395335,10433.439534883719,11419.52812902487,200.0,82549.0,47991.530232558136,2,1994
141240,1,0,0.0,102609,75,33,2,3,6,52.0,8187,4.83,94,monthly issuance,1993/09/07,male,59,27,75,953025.3,14.6,52968.0,72094690.42605712,9343.385294117643,13062.53111329581,1000.0,107784.1,57219.574509803846,1,1994
11736,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/04/22,male,83,36,97,802368.2,14.6,33098.0,45753445.60290329,6032.843609022554,8325.122553592006,1100.0,70826.8,42224.43909774438,1,1994
192744,1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1993/06/02,male,42,33,43,580937.0999999999,8.8,47700.0,120432012.01308422,7643.909210526313,10829.95100315389,700.0,121508.1,37265.65526315789,2,1994
227880,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1993/09/25,male,68,45,38,677013.9,14.6,64600.0,208021117.06183952,8156.793975903611,12748.96086882062,1100.0,153213.7,45134.72168674696,2,1994
17508,1,0,0.0,107870,84,29,6,1,6,58.0,8754,3.83,137,monthly issuance,1993/08/01,male,75,31,41,348679.1,14.6,17580.0,11081945.489931537,4842.7652777777785,5339.696546401361,900.0,54432.3,39290.618055555555,1,1994
98184,1,0,0.0,114200,101,41,4,1,4,43.7,8403,5.74,105,monthly issuance,1994/07/09,female,76,11,3,130356.20000000001,74.1,24545.0,69051953.29659341,9311.157142857142,11275.937707328841,500.0,68956.1,41660.392857142855,1,1994
170256,1,0,0.0,93931,74,21,10,1,8,56.9,8427,1.12,107,monthly issuance,1993/08/08,female,56,31,46,699885.7,14.6,36552.0,82505575.64357997,9089.424675324672,10042.315004482358,200.0,79869.8,40091.18311688309,1,1994
83016,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/02/08,male,42,67,129,2629253.1000000006,14.6,64400.0,124088595.88117556,13414.556632653064,14813.172056590744,700.0,136436.6,67891.93520408162,1,1994
61056,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/11/21,female,64,23,41,361365.7,14.6,24372.0,26275847.58176339,5646.339062499999,6783.255216131859,900.0,55816.0,36039.05156249998,1,1994
123696,1,0,0.0,124605,11,42,14,1,8,46.0,8772,4.69,126,monthly issuance,1993/12/02,male,81,22,39,546146.3999999999,14.6,48476.0,96770842.20252731,8953.219672131147,12421.023954674853,300.0,89822.2,49084.381967213114,1,1994
59760,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/12/27,female,57,22,32,447938.39999999997,14.6,34557.0,40181326.233689725,8295.155555555553,9473.174770693331,300.0,69643.1,40204.4648148148,2,1994
48672,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/09/17,male,73,34,63,153016.9,14.6,12100.0,122813.06431056684,1577.4938144329901,2134.8633422215444,300.0,33484.4,23050.189690721647,2,1994
140400,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/10/10,male,80,22,23,494617.7,14.6,63200.0,172337496.92604548,10991.504444444443,15888.232250644956,400.0,115000.2,43563.61999999999,1,1994
192552,-1,0,0.0,70646,94,14,3,1,4,58.4,8547,2.65,120,weekly issuance,1993/08/29,female,58,26,25,294495.4,10.2,23844.0,22335868.966364704,5774.419607843138,6781.366772355544,800.0,49563.0,23979.01176470588,1,1994
